| 书中编号 | 题目编号 | 标题（题解链接）                                             | 分类       | 备注                               |
| -------- | -------- | ------------------------------------------------------------ | ---------- | ---------------------------------- |
| 例题3-1  | UVA272   | [Tex   Quotes](https://blog.csdn.net/qq_40738840/article/details/104174510)                   | 水题       | 字符串处理                         |
| 例题3-2  | UVA10082 | [WERTYU](https://blog.csdn.net/qq_40738840/article/details/104174532)                           | 水题       | 打表                               |
| 例题3-3  | UVA401   | [Palindromes](https://blog.csdn.net/qq_40738840/article/details/104174551)                   | 经典       | 字符串处理，回文串/镜像串          |
| 例题3-4  | UVA340   | [Master-Mind   Hints ](https://blog.csdn.net/qq_40738840/article/details/104174570)    | 水题       | 阅读理解，做差法                   |
| 例题3-5  | UVA1583  | [Digit   Generator](https://blog.csdn.net/qq_40738840/article/details/104174612)        | 打表       | 缩小范围，逆向构建哈希表           |
| 例题3-6  | UVA1584  | [Circular   Sequence](https://blog.csdn.net/qq_40738840/article/details/104174632)    | 水题       | 字符串处理，string使用             |
| 习题3-1  | UVA1585  | [Score](https://blog.csdn.net/qq_40738840/article/details/104174654)                              | 水题       | 计数                               |
| 习题3-2  | UVA1586  | [Molar   mass](https://blog.csdn.net/qq_40738840/article/details/104174672)                  | 水题       | 字符串处理，精度控制               |
| 习题3-3  | UVA1225  | [Digit   Counting](https://blog.csdn.net/qq_40738840/article/details/104174691)          | 水题       | 哈希表计数                         |
| 习题3-4  | UVA455   | [Periodic   Strings](https://blog.csdn.net/qq_40738840/article/details/104174719)       | 水题       | 周期串                             |
| 习题3-5  | UVA227   | [Puzzle](https://blog.csdn.net/qq_40738840/article/details/104174748)                             | 简单模拟   | 简单模拟，复杂输入输出             |
| 习题3-6  | UVA232   | [Crossword   Answers](https://blog.csdn.net/qq_40738840/article/details/104174763)     | 简单模拟   | 字符串处理，坑人输出               |
| 习题3-7  | UVA1368  | [DNA   Consensus String](https://blog.csdn.net/qq_40738840/article/details/104174784) | 简单模拟   | 打表计数                           |
| 习题3-8  | UVA202   | [Repeating   Decimals](https://blog.csdn.net/qq_40738840/article/details/104174805)   | 除法模拟   | 循环节（周期串）                   |
| 习题3-9  | UVA10340 | [All in   All](https://blog.csdn.net/qq_40738840/article/details/104174829)                 | 子序列判定 | 双指针/dp计数                      |
| 习题3-10 | UVA1587  | [Box](https://blog.csdn.net/qq_40738840/article/details/104174846)                                 | 长方体判定 | 判定条件，STL                      |
| 习题3-11 | UVA1588  | [Kickdown](https://blog.csdn.net/qq_40738840/article/details/104174871)                       | 双串匹配   | 注意a，b相对位置                   |
| 习题3-12 | UVA11809 | [Floating-Point   Numbers](https://blog.csdn.net/qq_40738840/article/details/104174892) | 数学       | 公式推导，对数降维，精度选择，打表 |

## 紫书刷题进行中，[题解系列点这里](https://github.com/wyjoutstanding/Algorithm/tree/master/aoapc_uva)
