| 书中编号 | 题目编号 | 标题（题解链接）                                             | 分类     | 备注                                          |
| -------- | -------- | ------------------------------------------------------------ | -------- | --------------------------------------------- |
| 例题5-1  | UVA10474 | [Where is the Marble](https://blog.csdn.net/qq_40738840/article/details/104180332) | 水题     | sort,lowerbound/同分排名                      |
| 例题5-2  | UVA101   | [The Blocks Problem](https://blog.csdn.net/qq_40738840/article/details/104190346) | 水题     | vector插入删除（删除顺序注意）                |
| 例题5-3  | UVA10815 | [Andy's First Dictionary](https://blog.csdn.net/qq_40738840/article/details/104190613) | 水题     | set去重，字典序排列                           |
| 例题5-4  | UVA156   | [Ananagrams](https://blog.csdn.net/qq_40738840/article/details/104192559)               | 好题     | map，set；顺序无关-标准化：排序\|计数         |
| 例题5-5  | UVA12096 | [The SetStack Computer](https://blog.csdn.net/qq_40738840/article/details/104196214) | 好题     | 手动分配id（递归定义）；集合交并算法；stack   |
| 例题5-6  | UVA540   | [Team   Queue](https://blog.csdn.net/qq_40738840/article/details/104199736)             | 好题     | 双队列/二级索引/二维数组，读题                |
| 例题5-7  | UVA136   | [Ugly   Numbers](https://blog.csdn.net/qq_40738840/article/details/104200997)         | 数学     | 丑数构造，优先队列                            |
| 例题5-8  | UVA400   | [Unix ls](https://blog.csdn.net/qq_40738840/article/details/104204295)                     | 水题     | 字符串处理，输出格式控制，按列输出            |
| 例题5-9  | UVA1592  | [Database](https://blog.csdn.net/qq_40738840/article/details/104208507)                  | 好题     | 行列同素求解；map优化；stringstream分割字符串 |
| 例题5-10 | UVA207   | [PGA Tour Prize Money](#例题5-10-uva207-pga-tour-prize-money) |          | 待填坑                                        |
| 例题5-11 | UVA814   | [The Letter Carrier's Rounds](https://blog.csdn.net/qq_40738840/article/details/104215096) | 中级模拟 | 字符串处理；读题仔细（按输入顺序输出）        |
| 例题5-12 | UVA221   | [Urban Elevations](https://blog.csdn.net/qq_40738840/article/details/104217617)  | 离散化   | sort，连续化离散分析                          |
| 习题5-1  | UVA1593  | [Alignment of Code](https://blog.csdn.net/qq_40738840/article/details/104219607) | 水题     | 字符串处理；stringstream分割；对齐宽度        |
| 习题5-2  | UVA1594  | [Ducci   Sequence](https://blog.csdn.net/qq_40738840/article/details/104220596)    | 水题     | set序列判重                                   |
| 习题5-3  | UVA10935 | [Throwing cards away I](https://blog.csdn.net/qq_40738840/article/details/104221467) | 水题     | queue模拟                                     |
| 习题5-4  | UVA10763 | [Foreign Exchange](https://blog.csdn.net/qq_40738840/article/details/104221156) | 水题     | 映射（map/打表）                              |
| 习题5-5  | UVA10391 | [Compound   Words](https://blog.csdn.net/qq_40738840/article/details/104221957)   | 水题     | set，string子串                               |
| 习题5-6  | UVA1595  | [Symmetry](https://blog.csdn.net/qq_40738840/article/details/104222609)                  | 思考题   | 对称性判断                                    |
| 习题5-7  | UVA12100 | [Printer   Queue](https://blog.csdn.net/qq_40738840/article/details/104224057)     | 简单模拟 | queue；map（类似优先队列）                    |
| 习题5-8  | UVA230   | [Borrowers](https://blog.csdn.net/qq_40738840/article/details/104227213)                 | 中级模拟 | 分级sort；set字典序排列；map分配id            |
| 习题5-9  | UVA1596  | [Bug   Hunt](https://blog.csdn.net/qq_40738840/article/details/104233634)                | 中级模拟 | 字符串处理；数组表达式求值；map嵌套           |
| 习题5-10 | UVA1597  | [Searching the Web](https://blog.csdn.net/qq_40738840/article/details/104238925) | 搜索模拟 | 字符串处理；搜索引擎原理；集合交并补          |
| 习题5-11 | UVA12504 | [Updating a Dictionary](https://blog.csdn.net/qq_40738840/article/details/104239625) | 简单模拟 | 字符串处理；map；字符串分割                   |
| 习题5-12 | UVA511   | [Do You Know the Way to San Jose](#习题5-12-uva511-do-you-know-the-way-to-san-jose) | 待填坑   |                                               |
| 习题5-13 | UVA822   | [Queue   and A](#习题5-13-uva822-queue-and-a)          | 待填坑   |                                               |
| 习题5-14 | UVA1598  | [Exchange](#习题5-14-uva1598-exchange)                 | 待填坑   |                                               |
| 习题5-15 | UVA12333 | [Revenge of Fibonacci](#习题5-15-uva12333-revenge-of-fibonacci) | 待填坑   |                                               |
| 习题5-16 | UVA212   | [Use of Hospital Facilities](#习题5-16-uva212-use-of-hospital-facilities) | 待填坑   |                                               |
